chr,pos,value
20,33029613,-2.417351761
14,89871076,-2.416310324
16,2041968,-2.416080698
10,123297910,-2.415111027
16,698836,-2.414568926
15,41294267,-2.414431172
5,122365690,-2.41206556
16,19883052,-2.411753254
2,97530973,-2.41139399
2,96007438,-2.410198128
16,2169728,-2.408765833
7,24773608,-2.405793472
3,52543932,-2.405236214
5,113764489,-2.404942655
19,35544442,-2.402880216
12,50618577,-2.402403646
5,175523476,-2.40219852
11,43403826,-2.397867964
19,16195822,-2.397192271
12,121597249,-2.396937073
7,150699879,-2.395995215
5,1081324,-2.394671278
14,53894874,-2.393155825
8,37736560,-2.392726197
16,78273187,-2.391726395
1,40034853,-2.38919382
1,1292613,-2.388945179
9,130854992,-2.388801245
6,157950671,-2.387514759
11,19404296,-2.387500671
17,38498253,-2.384485709
22,25774364,-2.38427084
20,34206392,-2.382033977
10,79618463,-2.380438693
19,15490946,-2.378997018
15,81157900,-2.375275246
15,91432965,-2.375170388
3,197557861,-2.372000943
7,2767145,-2.370708795
14,81516989,-2.369834395
12,120479985,-2.367680271
1,171168084,-2.364457131
16,87883361,-2.363438428
9,138639511,-2.362011395
16,84195619,-2.360907395
19,58930302,-2.359101207
14,20857707,-2.356412534
10,14122943,-2.354883626
16,781230,-2.354681847
1,29479252,-2.354630409
17,79207484,-2.353979411
20,26199859,-2.351598707
2,220128662,-2.344566567
22,31323365,-2.34400506
2,204193565,-2.343643931
17,1381749,-2.343360592
11,711082,-2.342581077
11,1784609,-2.342398722
1,32352478,-2.341217955
11,61676257,-2.340786656
17,62943276,-2.339803523
16,67033076,-2.335101258
12,53593096,-2.334918572
19,44021133,-2.334821011
1,226339238,-2.333393779
4,2465687,-2.331419413
1,32399098,-2.330051374
9,141125040,-2.329013487
18,60025518,-2.328306168
15,29270073,-2.326943924
10,131567403,-2.326794241
7,66127183,-2.326710061
17,1328772,-2.324172997
19,679888,-2.323287715
2,42280414,-2.322953204
11,8811051,-2.322361606
22,29220609,-2.322034678
6,53608683,-2.32083932
14,23312001,-2.319747458
11,64601450,-2.318841484
11,113313365,-2.314786651
21,47641087,-2.314095233
14,24530071,-2.313165257
6,128565897,-2.31315774
8,95686498,-2.312569
16,27655252,-2.311986603
5,98297796,-2.311271364
9,71803166,-2.310800122
4,5771848,-2.309980708
15,40815211,-2.309260967
14,104172893,-2.308717054
1,113570276,-2.308299555
12,6492472,-2.3079465
17,30207315,-2.30757355
12,7278909,-2.307060977
7,104945906,-2.307002908
11,47242535,-2.306960506
11,113279441,-2.305883839
16,2162839,-2.299113478
7,94042208,-2.298469111
6,32817370,-2.298093153
5,125797630,-2.297357611
11,86109964,-2.297342991
3,183954167,-2.297304787
16,4791835,-2.296070556
19,18235552,-2.295659083
21,35936440,-2.295100909
17,46109462,-2.294164762
5,142024680,-2.294152413
1,37945066,-2.293252409
18,691500,-2.293155856
11,45946909,-2.292381652
17,37865423,-2.291435583
16,52526815,-2.288088637
10,135109086,-2.287127672
12,81491063,-2.286350391
2,203000281,-2.28607893
7,30180759,-2.285844122
1,681294,-2.283787281
12,7356225,-2.281112489
7,76113152,-2.280865999
3,49164549,-2.279699861
12,48146639,-2.279055748
17,78042423,-2.278105807
2,62335299,-2.276480564
7,47468454,-2.276448147
8,1553087,-2.27606392
1,36468470,-2.27532662
7,56154564,-2.272849856
15,92783124,-2.272065836
1,15184869,-2.267599843
2,71209068,-2.266368424
6,158250890,-2.265738927
19,16956060,-2.265405744
5,156690383,-2.262961594
11,66013010,-2.26176682
1,11206774,-2.261360771
19,58862833,-2.260737112
7,74837504,-2.26058526
16,88723956,-2.260156402
11,33896979,-2.256967467
19,49854783,-2.256703747
15,91211805,-2.255178859
19,36869332,-2.253978591
17,62088974,-2.253421408
4,186512110,-2.24917905
12,132421075,-2.249098227
17,59210695,-2.248708347
1,156874858,-2.246996728
1,2330075,-2.243854406
12,123551294,-2.243559576
18,21697284,-2.240839339
9,98242300,-2.238173483
19,3495878,-2.235301826
15,52880472,-2.234593344
16,30197272,-2.233054478
7,13980951,-2.232681877
3,38182241,-2.232340085
19,55679607,-2.231240483
19,8462091,-2.231028625
1,32678246,-2.230609767
15,99571704,-2.228773846
22,39063634,-2.227986002
5,142243828,-2.227485317
19,11341564,-2.225083629
3,133523746,-2.224567878
16,12188324,-2.224509853
1,42802552,-2.2242357
17,65221038,-2.221039223
22,40786444,-2.220641887
16,81106831,-2.220001979
9,136921669,-2.218669519
1,17325438,-2.218067577
3,183726666,-2.217922475
2,3142452,-2.216196245
13,42618123,-2.215980693
19,10818109,-2.215684505
4,38908329,-2.214305701
18,74087451,-2.213999188
4,40821482,-2.212987692
12,2331174,-2.211947747
17,78777436,-2.211316622
19,49688045,-2.211137593
14,55799385,-2.210640426
11,116759099,-2.210035539
16,1551901,-2.20901281
4,1181735,-2.208491776
7,157821942,-2.208439554
17,4916469,-2.207860837
17,21441142,-2.205600551
10,88874495,-2.205308427
17,73277332,-2.20353393
15,64763007,-2.200661274
7,81364038,-2.200453825
2,74690360,-2.199983976
17,43946991,-2.199027127
3,48458427,-2.198990765
17,41376149,-2.198455235
14,68594317,-2.197611511
10,38147353,-2.19673918
8,1839474,-2.196158582
17,8219694,-2.195629623
10,53064397,-2.195392843
21,37516340,-2.194788407
11,672150,-2.192308463
19,12642184,-2.191544645
1,52517472,-2.191238343
16,75148213,-2.191188008
2,241986619,-2.19096056
7,150078958,-2.190795574
7,65607294,-2.190435935
12,2714561,-2.190114542
11,558851,-2.189889578
X,1526791,-2.189053964
X,153205474,-2.185586234
15,86245171,-2.185199299
3,66490454,-2.184672287
19,46333894,-2.183964758
4,24796999,-2.183875928
22,45818974,-2.183420692
18,21668021,-2.18187407
11,65146917,-2.181573035
9,98183097,-2.18125386
3,194223595,-2.180719485
17,40843231,-2.178246396
17,3560150,-2.178003263
10,120969657,-2.177516961
5,149514417,-2.177513181
2,242291637,-2.17624777
17,28430949,-2.175607086
5,133468979,-2.174668542
11,67187758,-2.172460223
12,53465796,-2.172103874
19,50312592,-2.171112604
7,115874692,-2.16867535
5,79431945,-2.167878496
14,31744889,-2.166567991
19,10734184,-2.165347569
17,1630855,-2.165283227
16,8954832,-2.16519586
19,1032683,-2.16413968
5,131983122,-2.16286722
2,7210434,-2.160310233
16,84496916,-2.160076283
1,24873903,-2.159648706
6,30029681,-2.158805125
12,7282734,-2.157332821
22,38784392,-2.156915399
11,130054864,-2.155737276
7,44798828,-2.154712881
15,44325206,-2.154673976
2,23769784,-2.154571221
19,43994096,-2.153347275
9,137990146,-2.152964722
15,86298820,-2.152516976
1,28972416,-2.152075607
11,70166777,-2.151933422
17,66435371,-2.151444069
17,76810493,-2.151292487
11,67765513,-2.150933327
19,4062180,-2.149296938
14,104149525,-2.148795555
6,41677856,-2.147857368
17,43986590,-2.146364762
11,76807590,-2.145737439
11,12844598,-2.145572575
1,55256162,-2.145188093
16,50316047,-2.144995894
12,8391585,-2.144557765
1,165867518,-2.142939458
16,25079261,-2.141246021
19,46675527,-2.140929584
X,123007129,-2.139480735
17,1902936,-2.139186384
2,7055624,-2.137770421
1,95088223,-2.137414307
14,20918917,-2.135688379
7,106745924,-2.135242966
3,53890217,-2.133843013
8,10982232,-2.13358311
1,230399334,-2.132866516
17,62162340,-2.132753134
17,55547629,-2.132665811
2,74661256,-2.132515835
19,14505425,-2.131907525
9,130991592,-2.129906231
7,139830690,-2.128070597
12,9244542,-2.127974782
1,25627910,-2.127627711
1,246197879,-2.127597393
4,184131188,-2.127018945
1,1558392,-2.126821005
12,122882746,-2.125794648
1,246770289,-2.125459418
7,2688010,-2.124938817
19,58778526,-2.124910646
19,43038421,-2.123050387
2,74191668,-2.122914079
21,47934369,-2.122123289
3,127670294,-2.122067711
8,28309100,-2.120630741
8,30454740,-2.120453132
8,61146938,-2.119942758
8,38133802,-2.118911079
19,49233911,-2.115459861
1,165615565,-2.115011686
19,49461563,-2.109005759
22,20126254,-2.108612257
19,1486089,-2.106918251
1,21593159,-2.103908628
3,194871059,-2.102743974
15,24501100,-2.102530325
1,55090630,-2.10148958
3,9235157,-2.101175892
15,50312724,-2.101129503
11,19757707,-2.099565927
X,57150885,-2.099189905
5,73079900,-2.097227397
22,19896190,-2.096663862
2,220166288,-2.095361095
14,102269775,-2.093053859
4,77678870,-2.092040139
22,41609378,-2.09176028
16,2082192,-2.0917503
17,46008760,-2.091185511
11,5822137,-2.091180027
14,105170942,-2.089490794
15,83706005,-2.089308883
3,46722840,-2.089257633
16,2216914,-2.088984596
15,83339046,-2.087709672
11,62386207,-2.085330756
16,57671754,-2.08502696
8,86090071,-2.083512333
1,2200846,-2.082872899
11,46287002,-2.082738981
17,4877061,-2.081771041
1,9252372,-2.08008186
22,50316501,-2.079171754
17,17898165,-2.078599374
11,62600610,-2.07756313
17,72769596,-2.076732347
4,121566098,-2.075195107
1,29550886,-2.074308412
3,52563728,-2.07194937
10,17276078,-2.07117299
18,2954495,-2.070427658
20,61912639,-2.069939692
13,33735635,-2.069748395
1,234497163,-2.069267788
12,125314308,-2.067204192
17,42285091,-2.066695586
9,140259531,-2.066567407
8,145259881,-2.066042788
3,51424653,-2.065117103
17,2119042,-2.064130407
14,74760942,-2.063814848
2,9649057,-2.062995453
11,86419637,-2.06229227
14,105562643,-2.056439198
1,100939754,-2.056118166
16,12650880,-2.055342915
20,62197515,-2.055320473
11,63982752,-2.055055207
16,66957564,-2.05414184
2,198141412,-2.053807746
21,47413307,-2.052559666
19,58875954,-2.05241172
1,48701336,-2.051166855
2,33725604,-2.050227533
7,103039900,-2.050007449
17,78992790,-2.049690586
8,144689013,-2.046771419
12,15612832,-2.045956738
3,32775536,-2.045667063
19,42370491,-2.044178856
17,72207800,-2.043940017
19,50367813,-2.043603784
19,33669259,-2.043208176
22,21078771,-2.042439402
16,68351821,-2.041739346
15,67755069,-2.041044634
19,56658115,-2.039784128
11,111693937,-2.039611248
7,30217316,-2.039426119
11,86457352,-2.038983202
13,48652700,-2.037452315
11,67162528,-2.036198688
19,4364211,-2.034895597
22,34133915,-2.032686691
5,131758757,-2.031928359
5,477175,-2.028342902
7,143083188,-2.028340486
22,31480417,-2.028225748
2,178173200,-2.027381452
5,177457983,-2.025744228
11,65411984,-2.02505024
16,75088910,-2.024769703
22,45341461,-2.023456524
7,73023198,-2.022274422
14,100806530,-2.02225845
11,804466,-2.021910377
14,100158883,-2.021331822
1,51731167,-2.021279539
12,116615703,-2.020953345
14,77077380,-2.020466371
12,66716874,-2.018435404
8,145112451,-2.016950832
17,29420136,-2.016419403
2,239175711,-2.016395154
